Team,Avg Player Points,Avg Player Raid Points,Avg Player Tackle Points
Bengal Warriors,20.5,15.222222222222221,5.611111111111111
Bengaluru Bulls,18.823529411764707,17.941176470588236,5.629166666666666
Dabang Delhi,17.704166666666666,17.3125,5.3125
Haryana Steelers,14.985576923076923,14.427884615384615,2.7857142857142856
Puneri Paltan,13.155555555555555,5.111111111111111,2.8333333333333335
Tamil Thalaivas,12.600000000000001,12.211111111111112,
Patna Pirates,12.176470588235293,12.176470588235293,5.411764705882353
Fortune Giants,11.145833333333332,10.805555555555555,4.777777777777778
Telugu Titans,8.75,8.5625,3.625
Pink Panthers,7.444444444444445,6.833333333333333,6.555555555555555
U Mumba,6.6,11.283333333333333,8.058823529411764
UP Yoddha,6.235294117647059,6.0588235294117645,5.9411764705882355
